Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,122.820000,123.400002,122.239998,122.440002,119.098442,2915200
2020-09-16,122.709999,125.820000,122.709999,124.220001,120.829865,3788400
2020-09-17,122.620003,125.550003,121.970001,124.919998,121.510757,3171300
2020-09-18,124.260002,124.919998,122.650002,122.760002,119.409714,5391600
2020-09-21,120.480003,120.699997,118.580002,120.250000,116.968208,5311400
2020-09-22,120.330002,121.449997,119.529999,120.510002,117.221115,2957800
2020-09-23,120.800003,121.589996,118.430000,118.830002,115.586960,3939400
2020-09-24,118.099998,119.519997,116.480003,118.089996,114.867157,3546200
2020-09-25,117.599998,119.410004,116.940002,118.949997,115.703690,2953700
2020-09-28,120.570000,122.330002,120.410004,121.730003,118.407814,3509200
2020-09-29,121.410004,122.190002,120.209999,120.940002,117.639381,2106600
2020-09-30,121.379997,122.910004,120.800003,121.669998,118.349457,3261100
2020-10-01,122.360001,123.300003,120.360001,121.089996,117.785286,3211700
2020-10-02,119.040001,121.750000,118.820000,120.570000,117.279480,2925200
2020-10-05,121.839996,122.750000,121.050003,122.010002,118.680176,3050500
2020-10-06,122.580002,124.830002,121.589996,121.970001,118.641266,3872300
2020-10-07,122.669998,124.389999,122.320000,124.070000,120.683960,2815400
2020-10-08,130.860001,135.500000,129.770004,131.490005,127.901451,25288900
2020-10-09,132.000000,132.000000,127.599998,127.790001,124.302429,8353700
2020-10-12,128.070007,128.250000,126.440002,127.209999,123.738258,4635100
2020-10-13,126.570000,127.150002,124.459999,125.099998,121.685844,5406100
2020-10-14,125.129997,126.940002,125.129997,125.940002,122.502922,3730100
2020-10-15,124.080002,125.220001,123.849998,124.889999,121.481575,3385300
2020-10-16,125.169998,126.430000,124.660004,125.930000,122.493195,4710400
2020-10-19,126.800003,127.349998,125.080002,125.519997,122.094376,7478700
2020-10-20,119.800003,120.150002,116.839996,117.370003,114.166809,21501100
2020-10-21,116.660004,117.690002,114.790001,115.059998,111.919846,9755300
2020-10-22,115.000000,116.059998,112.980003,115.760002,112.600746,7855800
2020-10-23,116.500000,116.620003,115.529999,116.000000,112.834198,3893400
2020-10-26,114.449997,114.900002,111.839996,112.220001,109.157356,7203400
2020-10-27,112.150002,112.220001,110.029999,110.559998,107.542664,5936100
2020-10-28,108.660004,109.730003,105.919998,106.650002,103.739372,9427300
2020-10-29,107.250000,109.639999,106.550003,108.910004,105.937698,6760200
2020-10-30,107.900002,111.800003,107.750000,111.660004,108.612648,7921500
2020-11-02,112.650002,113.830002,112.250000,112.910004,109.828529,5311500
2020-11-03,114.000000,115.650002,113.629997,114.160004,111.044411,4204300
2020-11-04,112.330002,113.910004,111.160004,111.900002,108.846092,5800100
2020-11-05,113.300003,115.290001,113.010002,114.769997,111.637764,4902200
2020-11-06,115.080002,115.099998,113.389999,114.040001,110.927689,5249200
2020-11-09,117.879997,119.739998,115.269997,115.529999,114.006546,8992200
2020-11-10,116.690002,118.169998,116.250000,117.910004,116.355171,5622800
2020-11-11,118.120003,118.349998,116.220001,117.199997,115.654526,4289600
2020-11-12,115.629997,116.370003,113.480003,114.500000,112.990128,6498200
2020-11-13,115.190002,117.370003,115.010002,116.849998,115.309143,4682600
2020-11-16,118.300003,118.550003,117.120003,118.360001,116.799232,5293400
2020-11-17,117.599998,118.540001,117.070000,117.699997,116.147934,4134500
2020-11-18,117.720001,118.879997,116.750000,116.769997,115.230194,4606800
2020-11-19,116.540001,117.449997,115.889999,117.180000,115.634789,3439600
2020-11-20,117.599998,118.040001,116.690002,116.940002,115.397957,5024300
2020-11-23,117.430000,120.519997,117.269997,120.089996,118.506416,5650400
2020-11-24,120.860001,124.730003,120.809998,124.419998,122.779320,7752500
2020-11-25,122.930000,124.330002,122.110001,124.199997,122.562218,4135900
2020-11-27,124.199997,125.309998,123.910004,124.349998,122.710243,2091200
2020-11-30,124.099998,125.000000,123.089996,123.519997,121.891182,5988000
2020-12-01,123.900002,125.830002,123.080002,123.160004,121.535934,5312100
2020-12-02,122.849998,124.639999,122.410004,124.620003,122.976685,3690700
2020-12-03,124.160004,124.860001,123.290001,123.610001,121.980003,4548200
2020-12-04,123.970001,127.379997,123.639999,127.199997,125.522659,5522800
2020-12-07,126.489998,126.970001,124.570000,124.699997,123.055626,8318500
2020-12-08,125.320000,126.330002,124.639999,125.709999,124.052307,5395000
2020-12-09,125.800003,127.690002,125.699997,126.790001,125.118065,6513500
2020-12-10,126.349998,126.930000,124.940002,124.959999,123.312195,4803200
2020-12-11,124.080002,125.510002,123.610001,124.269997,122.631294,4481400
2020-12-14,125.320000,126.239998,123.470001,123.529999,121.901054,5050000
2020-12-15,124.389999,125.930000,123.440002,125.930000,124.269409,4359600
2020-12-16,125.930000,126.570000,125.290001,125.550003,123.894424,4530100
2020-12-17,126.080002,126.089996,124.910004,125.550003,123.894424,3788000
2020-12-18,125.589996,126.400002,124.970001,125.849998,124.190460,7552800
2020-12-21,123.970001,124.180000,121.720001,123.389999,121.762901,6115700
2020-12-22,123.309998,124.220001,122.410004,123.610001,121.980003,4336100
2020-12-23,123.879997,125.209999,123.739998,123.900002,122.266174,2693900
2020-12-24,125.000000,125.099998,124.209999,124.690002,123.045761,1761100
2020-12-28,125.099998,126.599998,124.459999,124.820000,123.174042,3615200
2020-12-29,125.349998,125.480003,123.239998,123.800003,122.167496,3487000
2020-12-30,123.800003,124.849998,123.629997,124.339996,122.700371,3380300
